0.143175,-0.0543593,0.00875081,0.999962
1.22346,-0.0804113,-0.00173564,0.999998
2.93372,-0.060379,0.0048291,0.999988
4.89423,0.00913003,0.0115331,0.999933
6.53214,0.169049,0.019163,0.999816
8.63624,0.350803,0.0266784,0.999644
8.75047,1.24107,0.686617,0.727019
7.00776,1.60349,0.999987,0.00514678
5.03436,1.61246,-0.999962,0.0086711
3.11516,1.48893,-0.999806,0.0196878
0.564844,1.26753,-0.999548,0.0300562
0.41866,2.65223,0.727037,0.686598
1.8697,2.53393,0.00320508,0.999995
3.91803,2.5286,0.011146,0.999938
5.84556,2.65522,0.0198562,0.999803
7.74899,2.84114,0.0266362,0.999645
9.45925,2.96511,0.0281861,0.999603
